,,HFIN.TO,BANK.TO,SOXL
cov_daily,HFIN.TO,0.0001166426136399415,9.323936409309958e-05,0.000401895848874294
cov_daily,BANK.TO,9.323936409309958e-05,8.655517123824589e-05,0.0003621546214073988
cov_daily,SOXL,0.000401895848874294,0.0003621546214073988,0.007331620226093272
cov_annual,HFIN.TO,0.02939393863726526,0.023496319751461093,0.10127775391632209
cov_annual,BANK.TO,0.023496319751461093,0.021811903152037963,0.0912629645946645
cov_annual,SOXL,0.10127775391632209,0.0912629645946645,1.8475682969755045
corr,HFIN.TO,1.0,0.9279491359985661,0.43459519356986465
corr,BANK.TO,0.9279491359985661,1.0,0.45461895700113947
corr,SOXL,0.43459519356986465,0.45461895700113947,1.0
