,,HFIN.TO,BANK.TO,SOXL
cov_daily,HFIN.TO,0.00012088399894923097,0.00010814656121042694,0.0002888613028035573
cov_daily,BANK.TO,0.00010814656121042694,0.00011225710538808592,0.0003558860926248854
cov_daily,SOXL,0.0002888613028035573,0.0003558860926248854,0.009998225017848182
cov_annual,HFIN.TO,0.030462767735206203,0.02725293342502759,0.07279304830649644
cov_annual,BANK.TO,0.02725293342502759,0.028288790557797653,0.08968329534147111
cov_annual,SOXL,0.07279304830649644,0.08968329534147111,2.519552704497742
corr,HFIN.TO,1.0000000000000002,0.9283706148887882,0.2627504709387741
corr,BANK.TO,0.9283706148887881,1.0000000000000002,0.33592524596035506
corr,SOXL,0.2627504709387742,0.335925245960355,1.0
